분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
축제-시민화합,양천구,신영시장 해피버스데이 6.7 생맥축제,2023-06-06~2023-06-07,서울 양천구 신월1동 신영시장 내,양천구청,전 연령대,,,,,http://map.naver.com/v5/search/%EC%8B%A0%EC%98%81%EC%8B%9C%EC%9E%A5/place/20488191?placePath=%3Fentry=pll%26from=nx%26fromNxList=true&placeSearchOption=entry=pll%26fromNxList=true,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8ed89ead187140cb92ad977f201eb679&thumb=Y,2023.5.23,시민,2023.6.6 0:00,2023.6.7 0:00,,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141805&menuNo=200010
교육/체험,종로구,2023 서울시향 마스터클래스 시리즈: 팀파니 돈 리우치,2023-06-06~2023-06-06,서울시향 5층 대연습실(세종문화회관 예술동 가동 5층),서울시립교향악단,"국내 팀파니, 타악기 전공생 및 연주자",,,,,https://www.seoulphil.or.kr/spo/notice/detail?langCd=ko&menuFlag=MFLG0001&postNo=7820,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=948523d2ef9b4f0a8b9c08388e99b98a&thumb=Y,2023.5.23,기관,2023.6.6 0:00,2023.6.6 0:00,기타,37.57184786,126.9761683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141800&menuNo=200011
독주/독창회,종로구,소프라노 고유영 독창회,2023-06-06~2023-06-06,세종체임버홀,세종문화회관,만 7세이상 입장가능,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34138&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=577c234db1d741d5abfa31a009df6abd&thumb=Y,2023.5.31,기관,2023.6.6 0:00,2023.6.6 0:00,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141862&menuNo=200008
콘서트,종로구,외대합창단 제33회 정기연주회 2023 하모니아 메이,2023-06-06~2023-06-06,꿈의숲 콘서트홀,세종문화회관,만 6세 이상 관람 가능,"전석 5,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34137&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=36e1d2b470b947a1a60ba541b5321dd1&thumb=Y,2023.6.1,기관,2023.6.6 0:00,2023.6.6 0:00,기타,37.62025446,127.0443247,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141875&menuNo=200008
교육/체험,중구,중구 문화공간 인현문화마루 [타말파_몸을 깨우고 마음을 토닥이는 시간],2023-06-05~2023-07-24,인현문화마루,중구문화재단,전체 (중구민 우선 선발),,,,,https://www.caci.or.kr/caci/bbs/BMSR00040/view.do?boardId=5941&menuNo=200016,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ad0f854ab78241cabba87b2115a907eb&thumb=Y,2023.5.10,기관,2023.6.5 0:00,2023.7.24 0:00,,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141648&menuNo=200011
영화,도봉구,2023년 도봉시네마 6월 상영작 안내,2023-06-05~2023-06-28,도봉구민회관 3층 소공연장,도봉문화원,영화별 상이,,,,,http://www.dobong.or.kr/main/main.php?categoryid=03&menuid=01&groupid=00&board=view&no=86,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2aa86f1c24114603b7cc95b8f17a27aa&thumb=Y,2023.5.31,기관,2023.6.5 0:00,2023.6.28 0:00,기타,37.65419928,127.0388705,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141873&menuNo=200013
교육/체험,은평구,[구립증산정보도서관] 6월 어린이 독서퀴즈,2023-06-05~2023-06-28,3층 어린이열람실,은평구청,초등학생 (은평구공공도서관 정회원),,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1712&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=203d1d3e197a495bb5269cc9eda7c5fc&thumb=Y,2023.6.7,기관,2023.6.5 0:00,2023.6.28 0:00,어린이/청소년 문화행사,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141932&menuNo=200011
독주/독창회,종로구,김하늘 피아노 독주회,2023-06-05~2023-06-05,세종체임버홀,서울돈화문국악당,미취학아동 입장불가 ,"일반석 30,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34125&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=451b2c23a66c4c59ac3b445ddd07de70&thumb=Y,2023.5.30,기관,2023.6.5 0:00,2023.6.5 0:00,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141853&menuNo=200008
교육/체험,은평구,현충일 기념 사서와 마구와구 [사랑해요 대한민국!],2023-06-05~2023-06-05,구립증산정보도서관 지하 문화강좌실,은평구청,6~7세 유아 10명,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1710&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ae14616ca22940bea2a292a3a452dcc1&thumb=Y,2023.5.30,기관,2023.6.5 0:00,2023.6.5 0:00,어린이/청소년 문화행사,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141850&menuNo=200011
교육/체험,성동구,맨홀은 왜 둥글지?,2023-06-04~2023-06-25,서울하수도과학관,서울시청,초등학생,무료,,"1. (초1~2학년) 맨홀의 뜻과 역할, 나만의 맨홀 만들기 2. (초3~6학년) 맨홀의 뜻과 역할, 맨홀탐사자동차만들기",,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230309151713240936,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cdb243a88b2249509383ef73e7502f5c&thumb=Y,2023.5.6,기관,2023.6.4 0:00,2023.6.25 0:00,기타,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141586&menuNo=200011
