rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd
2489,2968,2968,1004,하행,오이도행 - 충무로방면,1004000421,1004000423,1004000422,동대문역사문화공원,3,12003오이도0,"1002,1004,1005","1002000205,1004000422,1005000536",일반,428,4571,53,오이도,2023-11-21 10:36:11,7분 8초 후 (한성대입구),한성대입구,99
2536,2968,2968,1005,하행,마천행 - 서대문방면,1005000530,1005000532,1005000531,충정로,2,12004마천0,"1002,1005","1002000243,1005000531",일반,420,5585,65,마천,2023-11-21 10:36:15,7분 후 (여의나루),여의나루,99
2539,2968,2968,1008,하행,모란행 - 석촌방면,1008000813,1008000815,1008000814,잠실,2,12004모란,"1002,1008","1002000216,1008000814",일반,600,8091,17,모란,2023-11-21 10:36:14,10분 후 (암사),암사,99
2558,2968,2968,1007,하행,석남행 - 남구로방면,1007000743,1007000745,1007000744,대림,2,12004석남0,"1002,1007","1002000233,1007000744",일반,540,7139,42,석남,2023-11-21 10:36:08,9분 후 (장승배기),장승배기,99
2563,2968,2968,1002,내선,성수행 - 삼성방면,1002000217,1002000219,1002000218,종합운동장,1,12004성수0,"1002,1009","1002000218,1009000930",일반,450,3178,24,성수,2023-11-21 10:36:20,7분 30초 후,강변,99
2564,2968,2968,1002,내선,성수행 - 사당방면,1002000224,1002000226,1002000225,방배,1,12004성수0,1002,1002000225,일반,513,2172,88,성수,2023-11-21 10:36:20,8분 33초 후,역삼,99
2565,2968,2968,1002,내선,성수행 - 봉천방면,1002000227,1002000229,1002000228,서울대입구,1,12004성수0,1002,1002000228,일반,486,3170,88,성수,2023-11-21 10:36:20,8분 6초 후,서초,99
2566,2968,2968,1002,내선,성수행 - 영등포구청방면,1002000234,1002000236,1002000235,문래,1,12004성수0,1002,1002000235,일반,541,2162,88,성수,2023-11-21 10:36:20,9분 1초 후,신대방,99
2567,2968,2968,1002,내선,성수행 - 합정방면,1002000236,1002000238,1002000237,당산,2,12004성수0,"1002,1009","1002000237,1009000913",일반,418,3160,88,성수,2023-11-21 10:36:20,6분 58초 후,대림,99
2568,2968,2968,1002,내선,성수행 - 이대방면,1002000239,1002000241,1002000240,신촌,1,12004성수0,1002,1002000240,일반,485,2156,88,성수,2023-11-21 10:36:20,8분 5초 후,영등포구청,99
2569,2968,2968,1002,내선,성수행 - 시청방면,1002000242,1002000201,1002000243,충정로,2,12004성수0,"1002,1005","1002000243,1005000531",일반,441,3154,88,성수,2023-11-21 10:36:20,7분 21초 후,홍대입구,99
2570,2968,2968,1002,내선,성수행 - 을지로3가방면,1002000201,1002000203,1002000202,을지로입구,1,12004성수0,1002,1002000202,일반,352,3150,88,성수,2023-11-21 10:36:20,5분 52초 후,이대,99
2571,2968,2968,1002,내선,성수행 - 신당방면,1002000204,1002000206,1002000205,동대문역사문화공원,3,12004성수0,"1002,1004,1005","1002000205,1004000422,1005000536",일반,407,2148,88,성수,2023-11-21 10:36:20,6분 47초 후,시청,99
2572,2968,2968,1002,내선,성수행 - 성수방면,1002000209,1002000211,1002000210,뚝섬,1,12004성수0,1002,1002000210,일반,396,3142,88,성수,2023-11-21 10:36:20,6분 36초 후,신당,99
2578,2968,2968,1006,하행,신내행 - 동묘앞방면,1006000634,1006000636,1006000635,신당,2,12004신내0,"1002,1006","1002000206,1006000635",일반,420,6107,47,신내,2023-11-21 10:36:17,7분 후 (한강진),한강진,99
2625,2968,2968,1005,하행,하남검단산행 - 동대문역사문화공원방면,1005000534,1005000536,1005000535,을지로4가,2,12004하남검단산0,"1002,1005","1002000204,1005000535",일반,480,5069,51,하남검단산,2023-11-21 10:36:15,8분 후 (충정로),충정로,99
2629,2968,2968,1005,하행,하남검단산행 - 마장방면,1005000539,1005000541,1005000540,왕십리,4,12004하남검단산0,"1002,1005,1063,1075","1002000208,1005000540,1063075116,1075075210",일반,480,5067,51,하남검단산,2023-11-21 10:36:15,8분 후 (동대문역사문화공원),동대문역사문화공원,99
2640,2968,2968,1005,하행,마천행 - 신정(은행정)방면,1005000517,1005000519,1005000518,까치산,2,12005마천0,"1002,1005","1002002344,1005000518",일반,600,5589,65,마천,2023-11-21 10:36:15,10분 후 (송정),송정,99
2655,2968,2968,1001,하행,서동탄행 - 동묘앞방면,1001000125,1001000127,1001000126,신설동,2,12005서동탄,"1001,1002,1092","1001000126,1002002114,1092004713",일반,0,0443,1,서동탄,2023-11-21 10:29:03,[5]번째 전역 (신이문),신이문,99
2661,2968,2968,1002,내선,성수행 - 왕십리방면,1002000206,1002000208,1002000207,상왕십리,1,12005성수0,1002,1002000207,일반,486,2146,88,성수,2023-11-21 10:36:20,8분 6초 후,을지로입구,99
2662,2968,2968,1002,내선,성수행 - 상왕십리방면,1002000205,1002000207,1002000206,신당,2,12005성수0,"1002,1006","1002000206,1006000635",일반,524,2148,88,성수,2023-11-21 10:36:20,8분 44초 후,시청,99
2663,2968,2968,1002,내선,성수행 - 아현방면,1002000240,1002000242,1002000241,이대,1,12005성수0,1002,1002000241,일반,591,2156,88,성수,2023-11-21 10:36:20,9분 51초 후,영등포구청,99
2664,2968,2968,1002,내선,성수행 - 홍대입구방면,1002000237,1002000239,1002000238,합정,2,12005성수0,"1002,1006","1002000238,1006000622",일반,601,3160,88,성수,2023-11-21 10:36:20,10분 1초 후,대림,99
2665,2968,2968,1002,내선,성수행 - 당산방면,1002000235,1002000237,1002000236,영등포구청,2,12005성수0,"1002,1005","1002000236,1005000523",일반,645,2162,88,성수,2023-11-21 10:36:20,10분 45초 후,신대방,99
2666,2968,2968,1002,내선,성수행 - 낙성대방면,1002000225,1002000227,1002000226,사당,2,12005성수0,"1002,1004","1002000226,1004000433",일반,651,2172,88,성수,2023-11-21 10:36:20,10분 51초 후,역삼,99
2667,2968,2968,1002,내선,성수행 - 교대방면,1002000221,1002000223,1002000222,강남,2,12005성수0,"1002,1077","1002000222,1077000687",일반,493,3174,88,성수,2023-11-21 10:36:20,8분 13초 후,종합운동장,99
2672,2968,2968,1002,내선,신도림행 - 역삼방면,1002000219,1002000221,1002000220,선릉,2,12005신도림0,"1002,1075","1002000220,1075075215",일반,415,4176,88,신도림,2023-11-21 10:36:20,6분 55초 후,잠실,99
2703,2968,2968,1009,하행,중앙보훈병원행 - 종합운동장방면,1009000929,1009000930,1009000930,종합운동장,1,12005중앙보훈병원0,"1002,1009","1002000218,1009000930",일반,605,9070,938,중앙보훈병원,2023-11-21 10:36:24,10분 5초 후 (신논현),신논현,99
2742,2968,2968,1002,내선,성수행 - 서초방면,1002000222,1002000224,1002000223,교대,2,12006성수0,"1002,1003","1002000223,1003000340",일반,653,3174,88,성수,2023-11-21 10:36:20,10분 53초 후,종합운동장,99
2743,2968,2968,1002,내선,성수행 - 한양대방면,1002000207,1002000209,1002000208,왕십리,4,12006성수0,"1002,1005,1063,1075","1002000208,1005000540,1063075116,1075075210",일반,590,2146,88,성수,2023-11-21 10:36:20,9분 50초 후,을지로입구,99
2747,2968,2968,1002,내선,신도림행 - 강남방면,1002000220,1002000222,1002000221,역삼,1,12006신도림0,1002,1002000221,일반,556,4176,88,신도림,2023-11-21 10:36:20,9분 16초 후,잠실,99
2766,2968,2968,1075,하행,인천행 - 한티방면,1075075214,1075075216,1075075215,선릉,2,12006인천0,"1002,1075","1002000220,1075075215",일반,0,6545,128,인천,2023-11-21 10:35:28,[6]번째 전역 (청량리),청량리,99
2795,2968,2968,1006,하행,봉화산행 - 상수방면,1006000621,1006000623,1006000622,합정,2,12007봉화산0,"1002,1006","1002000238,1006000622",일반,840,6115,48,봉화산,2023-11-21 10:36:16,14분 후 (응암(하선-종착)),응암(하선-종착),99
2801,2968,2968,1002,내선,성수행 - 방배방면,1002000223,1002000225,1002000224,서초,1,12007성수0,1002,1002000224,일반,784,3174,88,성수,2023-11-21 10:36:20,13분 4초 후,종합운동장,99
2802,2968,2968,1002,내선,성수행 - 뚝섬방면,1002000208,1002000210,1002000209,한양대,1,12007성수0,1002,1002000209,일반,706,2146,88,성수,2023-11-21 10:36:20,11분 46초 후,을지로입구,99
2828,2968,2968,1009,하행,중앙보훈병원행 - 국회의사당방면 (급행),1009000912,1009000914,1009000913,당산,2,12007중앙보훈병원1,"1002,1009","1002000237,1009000913",급행,630,9568,938,중앙보훈병원 (급행),2023-11-21 10:36:24,10분 30초 후 (양천향교),양천향교,99
2865,2968,2968,1063,하행,덕소행 - 서강대방면,1063075315,1063075313,1063075314,홍대입구,3,12009덕소0,"1002,1063,1065","1002000239,1063075314,1065006503",일반,0,5057,209,덕소,2023-11-21 10:35:29,[9]번째 전역 (곡산),곡산,99
2921,2968,2968,1092,하행,북한산우이행 - 신설동방면,1092004712,1092004713,1092004713,신설동,2,12013북한산우이,"1001,1002,1092","1001000126,1002002114,1092004713",일반,539,1151,941,북한산우이,2023-11-21 10:30:13,[13]번째 전역 (남영),남영,99
2960,2968,2968,1002,내선,성수행 - 건대입구방면,1002000210,1002000212,1002000211,성수,1,12042성수0,1002,1002000211,일반,190,2140,88,성수,2023-11-21 10:36:20,3분 10초 후,한양대,99
